Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1,TRUE,8.13,5,Allowed_With_Citation,6,2.393
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5,FALSE,16.65,3,Allowed_With_Citation,9,3.696
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2,FALSE,10.35,5,Strict_Ban,9,3.499
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4,FALSE,15.23,2,Allowed_With_Citation,2,4
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4,FALSE,12.55,4,Allowed_With_Citation,4,3.798
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1,FALSE,14.19,4,Allowed_With_Citation,5,3.666
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5,TRUE,13.11,8,Allowed_With_Citation,7,4
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3,FALSE,18.45,2,Actively_Encouraged,1,2.965
100009,Business,Sophomore,3.42,2,Debugging/Troubleshooting,Beginner,2,TRUE,2.87,1,Strict_Ban,5,3.396
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2,TRUE,12.49,3,Strict_Ban,8,2.978
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3,FALSE,11.43,5,Allowed_With_Citation,3,3.617
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3,FALSE,8.05,3,Actively_Encouraged,3,2.699
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2,FALSE,8.95,2,Actively_Encouraged,4,3.612
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1,FALSE,25.3,2,Allowed_With_Citation,3,3.935
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1,FALSE,16.52,2,Allowed_With_Citation,4,3.122
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1,TRUE,12.59,4,Allowed_With_Citation,4,2.228
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3,FALSE,15.15,5,Strict_Ban,8,3.214
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4,FALSE,10.7,4,Allowed_With_Citation,5,3.39
100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,Beginner,1,FALSE,10.84,1,Allowed_With_Citation,2,3.412
100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,Intermediate,4,FALSE,3.69,1,Allowed_With_Citation,4,3.187
100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,Intermediate,4,FALSE,18.71,4,Strict_Ban,3,2.758
100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,Beginner,1,FALSE,15.78,2,Allowed_With_Citation,6,3.358
100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2,TRUE,2.75,2,Allowed_With_Citation,3,3.749
100024,Humanities,Senior,3.579,0.45,Ideation,Beginner,1,TRUE,10.61,1,Allowed_With_Citation,8,3.76
100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1,FALSE,8.24,8,Strict_Ban,7,2.588
100026,Arts,Senior,3.308,2.38,Ideation,Advanced,4,TRUE,11.33,2,Actively_Encouraged,2,4
100027,STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,Advanced,5,TRUE,14.29,6,Allowed_With_Citation,2,3.822
100028,Business,Junior,3.302,23.96,Ideation,Intermediate,2,TRUE,6.54,5,Allowed_With_Citation,1,3.487
100029,Business,Freshman,3.282,0.68,Ideation,Beginner,1,FALSE,17.89,1,Actively_Encouraged,4,3.088
100030,STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,Advanced,4,TRUE,10.25,5,Allowed_With_Citation,4,4
100031,Business,Senior,3.731,1.26,Direct_Answer_Generation,Intermediate,4,TRUE,16.16,2,Allowed_With_Citation,6,3.989
100032,STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,Intermediate,2,FALSE,11.77,5,Allowed_With_Citation,5,1.342
100033,STEM,Graduate,2.856,1.27,Direct_Answer_Generation,Advanced,3,FALSE,16.16,3,Allowed_With_Citation,5,3.276
100034,Medical,Senior,3.148,5.56,Summarizing_Reading,Intermediate,5,FALSE,9.89,2,Allowed_With_Citation,1,3.335
100035,Medical,Graduate,3.12,19.92,Summarizing_Reading,Beginner,2,TRUE,1,7,Allowed_With_Citation,3,3.207
100036,Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,Intermediate,4,TRUE,3.67,2,Strict_Ban,5,3.553
100037,Humanities,Freshman,3.303,0.29,Copywriting/Drafting,Advanced,3,FALSE,7.46,1,Allowed_With_Citation,5,3.145
100038,STEM,Junior,3.671,16.77,Debugging/Troubleshooting,Intermediate,3,TRUE,1,5,Allowed_With_Citation,4,3.636
100039,Business,Sophomore,2.403,1.58,Ideation,Intermediate,4,TRUE,13.34,1,Allowed_With_Citation,5,2.365
100040,Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,Intermediate,3,FALSE,10.81,2,Actively_Encouraged,2,3.452
100041,STEM,Senior,2.31,7.17,Debugging/Troubleshooting,Advanced,3,TRUE,8.95,5,Allowed_With_Citation,8,2.686
100042,Humanities,Senior,3.539,0.41,Summarizing_Reading,Beginner,3,TRUE,11.3,1,Allowed_With_Citation,5,3.812
100043,STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,Beginner,3,FALSE,8.42,3,Allowed_With_Citation,4,3.909
100044,Medical,Senior,3.048,4.67,Summarizing_Reading,Beginner,3,FALSE,8.21,4,Strict_Ban,4,3.277
100045,STEM,Junior,3.013,14.47,Debugging/Troubleshooting,Intermediate,3,FALSE,9.36,4,Allowed_With_Citation,7,3.447
100046,Business,Junior,3.503,6.34,Ideation,Intermediate,2,FALSE,21.22,2,Strict_Ban,5,3.942
100047,Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,Intermediate,1,FALSE,11.84,4,Allowed_With_Citation,3,4
100048,Business,Junior,3.511,8.04,Direct_Answer_Generation,Beginner,2,TRUE,10.5,2,Actively_Encouraged,3,3.567
100049,Business,Senior,2.645,8.78,Ideation,Intermediate,3,FALSE,5.97,1,Strict_Ban,3,2.884
100050,STEM,Senior,3.115,13.39,Summarizing_Reading,Intermediate,2,TRUE,20.87,5,Allowed_With_Citation,4,3.644
100051,Medical,Sophomore,3.577,11.13,Summarizing_Reading,Advanced,4,TRUE,15.85,3,Strict_Ban,6,4
100052,Arts,Senior,2.433,11.16,Debugging/Troubleshooting,Beginner,2,TRUE,12.82,6,Actively_Encouraged,5,2.903
100053,Medical,Sophomore,2.958,11.36,Summarizing_Reading,Intermediate,3,TRUE,9.52,5,Allowed_With_Citation,6,3.155
100054,Medical,Senior,3.732,0.88,Ideation,Intermediate,4,TRUE,12.87,4,Allowed_With_Citation,1,3.885
100055,Business,Junior,3.148,0.16,Summarizing_Reading,Beginner,1,FALSE,15.1,2,Allowed_With_Citation,5,3.393
100056,Medical,Senior,3.429,20.48,Direct_Answer_Generation,Beginner,2,TRUE,4.24,6,Actively_Encouraged,2,3.521
100057,STEM,Junior,3.837,2.23,Ideation,Advanced,4,TRUE,14.06,4,Strict_Ban,4,3.988
100058,STEM,Sophomore,3.249,9.77,Ideation,Advanced,3,TRUE,17.42,4,Allowed_With_Citation,4,3.342
100059,STEM,Junior,3.015,2.7,Debugging/Troubleshooting,Beginner,2,FALSE,18.28,3,Allowed_With_Citation,4,3.394
100060,Humanities,Sophomore,3.167,14.92,Summarizing_Reading,Beginner,2,FALSE,10.74,2,Strict_Ban,8,3.518
100061,Humanities,Sophomore,3.697,6.6,Ideation,Advanced,3,FALSE,10.29,4,Strict_Ban,5,3.914
100062,STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,Intermediate,3,FALSE,8.94,1,Allowed_With_Citation,1,3.665
100063,Arts,Senior,2.164,17.37,Copywriting/Drafting,Beginner,1,FALSE,10.06,6,Strict_Ban,5,2.339
100064,Humanities,Freshman,2.771,7.02,Copywriting/Drafting,Intermediate,4,FALSE,13.18,2,Allowed_With_Citation,3,2.896
100065,STEM,Graduate,3.569,8.2,Ideation,Intermediate,1,FALSE,17.15,2,Actively_Encouraged,4,3.922
100066,Business,Freshman,3.074,0.65,Ideation,Intermediate,3,TRUE,14.09,3,Actively_Encouraged,5,3.416
100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4,TRUE,15.32,3,Allowed_With_Citation,2,3.702
100068,Arts,Graduate,3.606,1.1,Ideation,Beginner,2,FALSE,17.55,2,Strict_Ban,3,3.758
100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3,TRUE,6.48,4,Allowed_With_Citation,2,3.879
100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1,TRUE,7.64,5,Allowed_With_Citation,5,2.951
100071,Arts,Graduate,3.047,18.86,Direct_Answer_Generation,Beginner,1,TRUE,13.19,6,Allowed_With_Citation,7,3.295
100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2,FALSE,9.7,8,Allowed_With_Citation,6,3.326
100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3,FALSE,6.39,3,Actively_Encouraged,5,3.687
100074,Arts,Freshman,2.579,8.72,Ideation,Advanced,3,FALSE,14.07,4,Allowed_With_Citation,3,2.962
100075,Business,Freshman,2.919,2.08,Direct_Answer_Generation,Beginner,1,FALSE,19.29,5,Allowed_With_Citation,3,3.389
100076,Business,Junior,2.023,5.4,Copywriting/Drafting,Beginner,2,FALSE,13.8,2,Allowed_With_Citation,5,2.468
100077,Arts,Freshman,2.494,7.29,Copywriting/Drafting,Beginner,3,FALSE,6.21,1,Allowed_With_Citation,7,2.393
100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4,TRUE,11.39,1,Allowed_With_Citation,2,3.969
100079,Humanities,Graduate,2.659,8.84,Copywriting/Drafting,Intermediate,2,FALSE,16.3,1,Allowed_With_Citation,8,3.21
100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3,TRUE,14.7,2,Allowed_With_Citation,1,3.293
100081,Arts,Senior,3.274,2.79,Copywriting/Drafting,Beginner,2,TRUE,1.96,2,Allowed_With_Citation,1,3.195
100082,Business,Junior,3.332,8.53,Direct_Answer_Generation,Beginner,2,FALSE,12.93,4,Strict_Ban,2,3.421
100083,Humanities,Graduate,3.221,13.97,Summarizing_Reading,Beginner,1,FALSE,4.38,4,Actively_Encouraged,4,3.418
100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4,FALSE,17.94,2,Allowed_With_Citation,2,3.691
100085,Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,Advanced,4,FALSE,12.32,4,Actively_Encouraged,3,2.354
100086,Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,Intermediate,3,FALSE,18.91,3,Strict_Ban,3,3.334
100087,Business,Graduate,3.033,9.65,Ideation,Intermediate,5,TRUE,2.81,2,Strict_Ban,5,3.216
100088,Business,Senior,2.549,13.19,Ideation,Beginner,2,TRUE,11.21,6,Allowed_With_Citation,5,2.855
100089,Medical,Graduate,3.367,6.51,Summarizing_Reading,Beginner,3,TRUE,2.53,1,Actively_Encouraged,2,3.389
100090,Humanities,Graduate,3.544,34,Debugging/Troubleshooting,Beginner,2,FALSE,8.67,6,Actively_Encouraged,1,3.795
100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5,FALSE,14.46,3,Actively_Encouraged,6,2.75
100092,Business,Junior,2.592,5.87,Copywriting/Drafting,Intermediate,5,TRUE,8.39,3,Strict_Ban,2,3.139
100093,Arts,Senior,2.561,0.16,Debugging/Troubleshooting,Intermediate,5,FALSE,14.86,3,Allowed_With_Citation,1,2.887
100094,Business,Senior,2.778,12.92,Direct_Answer_Generation,Intermediate,2,TRUE,9.91,7,Actively_Encouraged,8,3.17
100095,Arts,Freshman,3.099,21.32,Summarizing_Reading,Beginner,2,TRUE,12.78,3,Allowed_With_Citation,4,3.378
